地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2021/03/09,08:29:58.9,宮城県沖,38°45.6′N,141°35.5′E,76 km,4.9,震度４
2021/02/19,18:11:09.4,岩手県内陸北部,40°09.3′N,141°11.0′E,7 km,4.2,震度４
2021/02/15,13:28:16.0,和歌山県北部,34°13.0′N,135°12.5′E,4 km,4.0,震度４
2021/02/14,16:31:50.2,福島県沖,37°31.0′N,141°25.7′E,50 km,5.2,震度４
2021/02/13,23:07:50.5,福島県沖,37°43.7′N,141°41.9′E,55 km,7.3,震度６強
2021/02/02,03:01:56.3,栃木県北部,36°38.7′N,139°25.1′E,7 km,4.0,震度４
2021/01/27,14:06:52.8,胆振地方中東部,42°42.6′N,142°01.2′E,128 km,5.4,震度４
2021/01/01,01:53:36.1,新島・神津島近海,34°28.8′N,139°18.2′E,12 km,4.7,震度４
2020/12/30,09:35:28.3,茨城県沖,36°27.0′N,140°37.0′E,56 km,5.2,震度４
2020/12/21,02:23:21.5,青森県東方沖,40°46.9′N,142°41.5′E,43 km,6.5,震度５弱
2020/12/18,20:36:33.0,新島・神津島近海,34°30.1′N,139°18.4′E,8 km,4.6,震度４
2020/12/18,18:09:56.6,新島・神津島近海,34°29.2′N,139°18.2′E,11 km,5.0,震度５弱
2020/12/17,16:42:44.2,茨城県南部,36°03.4′N,139°56.2′E,45 km,4.6,震度４
2020/12/12,16:18:54.3,岩手県沖,40°05.6′N,142°06.5′E,48 km,5.6,震度５弱
2020/11/22,19:05:53.9,茨城県沖,36°35.4′N,141°06.0′E,45 km,5.7,震度５弱
2020/09/27,13:13:41.3,静岡県西部,35°04.8′N,137°47.1′E,45 km,5.1,震度４
2020/09/12,11:44:09.6,宮城県沖,38°43.3′N,142°16.2′E,43 km,6.2,震度４
2020/09/04,09:10:53.3,福井県嶺北,36°06.9′N,136°11.3′E,7 km,5.0,震度５弱
2020/09/03,00:21:34.7,父島近海,26°35.4′N,142°11.0′E,40 km,4.8,震度４
2020/07/09,06:05:29.3,茨城県南部,36°03.8′N,139°50.6′E,45 km,4.7,震度４
2020/06/25,04:47:44.4,千葉県東方沖,35°33.2′N,141°06.7′E,36 km,6.1,震度５弱
2020/06/17,15:03:03.1,岐阜県美濃中西部,35°18.6′N,136°28.0′E,6 km,4.4,震度４
2020/06/14,00:51:23.0,奄美大島北西沖,28°45.8′N,128°21.3′E,165 km,6.3,震度４
2020/06/10,00:22:40.2,土佐湾,33°19.0′N,133°21.8′E,21 km,4.7,震度４
2020/06/04,05:31:18.9,茨城県沖,36°25.7′N,140°41.5′E,52 km,4.8,震度４
2020/06/01,09:33:30.3,薩摩半島西方沖,31°34.8′N,130°20.2′E,9 km,4.3,震度４
2020/06/01,06:02:11.2,茨城県北部,36°11.4′N,140°20.6′E,97 km,5.2,震度４
2020/05/31,03:13:49.2,十勝沖,42°31.3′N,143°42.1′E,94 km,5.6,震度４
2020/05/29,19:05:14.9,長野県中部,36°15.7′N,137°38.4′E,4 km,5.3,震度４
2020/05/23,04:33:07.2,沖縄本島近海,27°17.7′N,128°26.1′E,48 km,4.9,震度４
2020/05/19,13:12:58.1,岐阜県飛騨地方,36°17.0′N,137°37.7′E,3 km,5.4,震度４
2020/05/19,12:17:12.4,福島県沖,37°30.8′N,141°25.5′E,50 km,5.4,震度４
2020/05/18,12:00:38.4,宮城県沖,38°10.5′N,141°41.7′E,51 km,5.2,震度４
2020/05/17,20:38:26.5,紀伊水道,33°36.5′N,134°45.2′E,37 km,4.6,震度４
2020/05/06,01:57:07.5,千葉県北西部,35°37.9′N,140°04.7′E,68 km,5.0,震度４
2020/05/04,22:07:49.7,千葉県北東部,35°43.8′N,140°36.6′E,48 km,5.6,震度４
2020/04/26,09:49:10.5,茨城県南部,36°07.9′N,140°04.8′E,66 km,4.8,震度４
2020/04/23,13:44:22.1,長野県中部,36°13.5′N,137°39.7′E,3 km,5.5,震度４
2020/04/20,05:39:05.2,宮城県沖,38°53.2′N,142°05.9′E,46 km,6.2,震度４
2020/04/18,17:25:36.9,小笠原諸島西方沖,27°10.4′N,140°30.4′E,477 km,6.8,震度４
2020/04/13,19:16:38.6,長野県北部,36°46.0′N,137°52.7′E,5 km,4.2,震度４
2020/04/12,00:44:48.0,茨城県南部,36°11.9′N,139°57.6′E,53 km,5.0,震度４
2020/03/13,02:18:46.7,石川県能登地方,37°16.7′N,136°49.4′E,12 km,5.5,震度５強
2020/03/11,13:04:23.3,秋田県内陸南部,39°40.6′N,140°44.3′E,12 km,4.4,震度４
2020/02/20,12:53:08.2,千葉県北東部,35°23.7′N,140°18.6′E,28 km,4.3,震度４
2020/02/13,19:33:45.1,択捉島南東沖,45°03.3′N,149°09.7′E,155 km,7.2,震度４
2020/02/12,19:37:18.8,福島県沖,37°18.6′N,141°21.5′E,87 km,5.4,震度４
2020/02/01,02:07:47.5,茨城県南部,35°58.1′N,140°03.8′E,63 km,5.3,震度４
2020/01/28,10:36:04.2,根室半島南東沖,43°22.4′N,145°59.0′E,96 km,5.5,震度４
2020/01/21,19:17:54.5,茨城県沖,36°25.6′N,140°38.8′E,53 km,4.2,震度４
2020/01/16,18:36:12.7,沖縄本島近海,26°32.3′N,127°43.4′E,14 km,4.2,震度４
2020/01/14,04:53:49.2,茨城県南部,36°04.6′N,139°53.0′E,46 km,4.8,震度４
2020/01/03,03:23:53.3,千葉県東方沖,35°48.6′N,141°06.9′E,34 km,5.8,震度４
2019/12/19,15:21:33.4,青森県東方沖,40°30.7′N,142°10.7′E,50 km,5.5,震度５弱
2019/12/18,08:35:22.1,沖縄本島近海,27°18.3′N,128°25.9′E,47 km,5.1,震度４
2019/12/12,01:09:49.5,宗谷地方北部,45°06.3′N,141°52.7′E,7 km,4.2,震度５弱
2019/12/04,19:35:05.2,栃木県北部,36°57.2′N,139°40.8′E,7 km,4.8,震度４
2019/12/04,10:38:53.1,茨城県北部,36°48.5′N,140°32.3′E,9 km,4.9,震度４
2019/12/03,10:18:04.6,茨城県南部,36°08.5′N,139°49.0′E,52 km,4.7,震度４
2019/11/26,15:09:10.9,瀬戸内海中部,34°02.7′N,133°03.8′E,16 km,4.6,震度４
2019/11/17,20:05:33.1,伊豆大島近海,34°38.3′N,139°03.1′E,13 km,4.7,震度４
2019/11/08,18:18:23.3,茨城県沖,36°32.4′N,140°50.2′E,52 km,4.4,震度４
2019/10/12,18:21:53.6,千葉県南東沖,34°40.4′N,140°38.9′E,75 km,5.4,震度４
2019/08/15,14:32:52.9,青森県三八上北地方,40°47.5′N,141°20.3′E,93 km,5.5,震度４
2019/08/04,19:23:03.5,福島県沖,37°42.4′N,141°37.9′E,45 km,6.4,震度５弱
2019/07/28,03:31:06.7,三重県南東沖,33°09.6′N,137°23.8′E,393 km,6.6,震度４
2019/06/24,19:22:39.4,伊豆半島東方沖,35°04.0′N,139°06.0′E,8 km,4.1,震度４
2019/06/24,09:11:44.1,千葉県南東沖,34°55.7′N,139°57.8′E,61 km,5.2,震度４
2019/06/19,00:57:24.4,新潟県下越沖,38°33.6′N,139°23.7′E,12 km,4.2,震度４
2019/06/18,22:22:19.9,山形県沖,38°36.4′N,139°28.7′E,14 km,6.7,震度６強
2019/06/17,08:00:09.4,茨城県北部,36°30.9′N,140°35.0′E,77 km,5.1,震度４
2019/06/04,13:39:15.9,鳥島近海,29°03.3′N,139°39.7′E,445 km,6.2,震度４
2019/06/01,07:58:10.6,千葉県北東部,35°22.1′N,140°17.6′E,35 km,4.7,震度４
2019/05/27,04:04:15.2,茨城県北部,36°41.5′N,140°39.1′E,11 km,4.3,震度４
2019/05/25,15:20:46.6,千葉県北東部,35°21.4′N,140°17.4′E,38 km,5.1,震度５弱
2019/05/11,08:59:40.0,日向灘,32°41.4′N,132°17.6′E,36 km,5.0,震度４
2019/05/10,08:48:41.6,日向灘,31°48.0′N,131°58.4′E,25 km,6.3,震度５弱
2019/05/08,09:20:00.8,岩手県沖,40°04.4′N,142°06.9′E,48 km,4.4,震度４
2019/05/05,01:40:25.8,根室半島南東沖,43°10.6′N,146°25.6′E,52 km,5.3,震度４
2019/04/28,02:24:47.1,十勝地方南部,42°33.6′N,142°52.7′E,102 km,5.6,震度４
2019/03/27,15:38:03.3,日向灘,32°09.8′N,132°09.0′E,21 km,5.4,震度４
2019/03/13,13:48:48.7,紀伊水道,33°48.0′N,134°54.8′E,43 km,5.3,震度４
2019/03/09,01:08:03.5,岐阜県美濃中西部,35°22.3′N,136°41.0′E,42 km,4.4,震度４
2019/03/07,04:26:01.5,宮城県沖,38°43.2′N,141°38.0′E,70 km,4.6,震度４
2019/03/02,12:22:55.5,根室半島南東沖,42°00.4′N,146°51.7′E,51 km,6.2,震度４
2019/02/21,21:22:40.4,胆振地方中東部,42°45.9′N,142°00.2′E,33 km,5.8,震度６弱
2019/02/10,14:34:24.4,奄美大島近海,28°16.4′N,129°30.2′E,36 km,4.9,震度４
2019/01/26,17:23:01.6,岩手県沖,40°16.8′N,142°19.6′E,38 km,5.6,震度４
2019/01/26,14:16:33.2,熊本県熊本地方,33°00.9′N,130°34.2′E,10 km,4.3,震度５弱
2019/01/14,13:23:42.3,茨城県南部,36°09.7′N,139°48.6′E,53 km,4.9,震度４
2019/01/08,21:39:30.0,種子島近海,30°34.3′N,131°09.8′E,30 km,6.0,震度４
2019/01/08,10:01:10.4,奄美大島近海,28°25.7′N,129°28.4′E,9 km,4.0,震度４
2019/01/03,18:10:27.6,熊本県熊本地方,33°01.6′N,130°33.2′E,10 km,5.1,震度６弱
2018/12/30,04:08:30.9,十勝地方南部,42°19.6′N,143°06.8′E,51 km,5.3,震度４
2018/12/08,10:54:02.5,福島県沖,37°01.8′N,141°20.6′E,50 km,5.0,震度４
2018/11/27,08:33:51.1,茨城県南部,36°04.3′N,139°51.8′E,44 km,5.0,震度４
2018/11/23,23:30:14.1,福島県沖,37°04.3′N,141°10.3′E,50 km,5.0,震度４
2018/11/14,19:07:30.1,胆振地方中東部,42°41.8′N,141°57.9′E,32 km,4.7,震度４
2018/11/05,04:26:01.6,国後島付近,44°36.5′N,145°48.3′E,20 km,6.3,震度４
2018/11/02,16:53:54.1,紀伊水道,33°41.7′N,135°11.7′E,44 km,5.4,震度４
2018/10/26,03:36:09.8,宮城県沖,38°16.7′N,141°48.6′E,49 km,5.7,震度４
2018/10/22,19:47:18.4,福島県沖,37°31.0′N,141°26.6′E,49 km,5.0,震度４
2018/10/15,16:10:44.4,栃木県北部,36°48.4′N,139°23.2′E,3 km,3.7,震度４
2018/10/12,13:15:47.6,千葉県北東部,35°44.7′N,140°41.3′E,52 km,5.2,震度４
2018/10/12,09:14:27.9,胆振地方中東部,42°35.5′N,141°56.8′E,23 km,4.6,震度４
2018/10/09,02:45:15.9,胆振地方中東部,42°37.5′N,141°57.5′E,32 km,4.3,震度４
2018/10/08,21:53:58.7,胆振地方中東部,42°37.6′N,141°57.7′E,32 km,4.3,震度４
2018/10/07,10:14:19.1,愛知県東部,35°02.2′N,137°34.4′E,42 km,5.0,震度４
2018/10/05,08:58:49.1,胆振地方中東部,42°35.5′N,141°57.9′E,31 km,5.2,震度５弱
2018/10/04,00:15:30.5,千葉県東方沖,35°48.5′N,140°58.2′E,31 km,4.7,震度４
2018/10/01,11:22:03.3,胆振地方中東部,42°47.6′N,142°00.6′E,35 km,4.7,震度４
2018/09/30,17:54:04.4,日高地方西部,42°32.9′N,141°59.3′E,37 km,4.9,震度４
2018/09/18,17:11:11.3,埼玉県南部,36°02.9′N,139°47.9′E,77 km,4.3,震度４
2018/09/17,02:51:31.6,胆振地方中東部,42°43.0′N,141°51.7′E,28 km,4.6,震度４
2018/09/14,06:54:22.3,胆振地方中東部,42°40.6′N,141°57.1′E,26 km,4.6,震度４
2018/09/12,18:24:51.8,胆振地方中東部,42°40.5′N,141°59.1′E,33 km,4.5,震度４
2018/09/11,19:07:33.2,胆振地方中東部,42°49.2′N,141°59.7′E,34 km,4.2,震度４
2018/09/11,04:58:46.0,胆振地方中東部,42°42.7′N,142°00.3′E,31 km,4.5,震度４
2018/09/10,23:58:39.4,千葉県南東沖,35°03.9′N,140°13.5′E,35 km,4.7,震度４
2018/09/09,22:55:13.7,胆振地方中東部,42°46.8′N,141°59.0′E,35 km,4.9,震度４
2018/09/08,18:21:07.1,胆振地方中東部,42°41.7′N,141°58.2′E,34 km,4.2,震度４
2018/09/07,22:43:45.9,胆振地方中東部,42°44.9′N,142°01.5′E,35 km,4.4,震度４
2018/09/07,13:25:24.2,胆振地方中東部,42°42.7′N,141°58.2′E,33 km,4.5,震度４
2018/09/06,06:11:29.9,胆振地方中東部,42°40.9′N,142°00.7′E,36 km,5.4,震度５弱
2018/09/06,06:04:32.0,胆振地方中東部,42°42.1′N,141°59.6′E,31 km,4.4,震度４
2018/09/06,04:10:47.7,胆振地方中東部,42°41.5′N,141°59.3′E,31 km,4.7,震度４
2018/09/06,03:32:52.2,胆振地方中東部,42°43.5′N,141°59.9′E,35 km,4.6,震度４
2018/09/06,03:23:49.2,胆振地方中東部,42°48.5′N,141°58.6′E,34 km,4.8,震度４
2018/09/06,03:20:10.8,胆振地方中東部,42°34.7′N,141°56.5′E,31 km,5.5,震度４
2018/09/06,03:17:09.6,胆振地方中東部,42°38.4′N,141°57.6′E,29 km,4.7,震度４
2018/09/06,03:07:59.3,胆振地方中東部,42°41.4′N,142°00.4′E,37 km,6.7,震度７
2018/09/05,05:11:19.9,茨城県沖,36°28.5′N,141°20.2′E,60 km,5.5,震度４
2018/08/22,18:23:38.3,熊本県熊本地方,32°42.8′N,130°39.7′E,12 km,4.1,震度４
2018/08/11,06:11:16.1,福島県沖,37°09.4′N,141°11.7′E,20 km,5.0,震度４
2018/07/31,17:42:20.2,福島県沖,37°09.3′N,141°13.7′E,21 km,5.8,震度４
2018/07/25,07:31:28.1,熊本県熊本地方,32°43.3′N,130°47.8′E,5 km,4.4,震度４
2018/07/17,04:34:12.1,茨城県沖,36°25.8′N,140°41.5′E,52 km,4.8,震度４
2018/07/16,02:13:39.5,日高地方東部,42°19.2′N,142°59.8′E,55 km,4.9,震度４
2018/07/07,20:23:48.9,千葉県東方沖,35°09.9′N,140°35.5′E,57 km,6.0,震度５弱
2018/07/02,02:27:00.8,青森県東方沖,41°29.6′N,142°03.8′E,64 km,4.9,震度４
2018/06/26,19:46:22.3,千葉県南部,35°20.9′N,140°20.7′E,26 km,4.3,震度４
2018/06/26,17:00:09.6,広島県北部,34°55.8′N,132°52.3′E,12 km,5.0,震度４
2018/06/19,00:31:25.0,大阪府北部,34°51.5′N,135°36.4′E,10 km,4.1,震度４
2018/06/18,07:58:34.1,大阪府北部,34°50.6′N,135°37.3′E,13 km,6.1,震度６弱
2018/06/17,15:27:21.8,群馬県南部,36°27.3′N,139°10.3′E,14 km,4.6,震度５弱
2018/06/16,11:09:10.0,千葉県北東部,35°21.0′N,140°19.4′E,26 km,4.4,震度４
2018/06/12,04:54:21.3,大隅半島東方沖,31°11.3′N,131°33.5′E,28 km,5.6,震度４
