Fecha,Hora,Epicentro,Latitud,Longitud,Profundidad,Mag,Máxima intensidad sísmica
1995-07-30,20:51:19,Cerca de: Amami Oshima,28.706666666666667,129.24666666666664,45 km,5.6,Intensidad sísmica 4
1995-07-16,15:50:07,Cerca de Niijima y Kozushima,34.19499999999999,139.16333333333333,4 km,3.6,Intensidad sísmica 4
1995-07-03,08:53:23,Bahía Sagami,35.165,139.56333333333333,122 km,5.2,Intensidad sísmica 4
1995-06-07,00:52:38,Wakayama del Norte,34.19499999999999,135.20666666666665,4 km,4.1,Intensidad sísmica 4
1995-05-30,17:25:07,Central región de Sorachi,43.656666666666666,141.70833333333331,11 km,3.5,Intensidad sísmica 4
1995-05-24,14:32:33,Central región de Sorachi,43.65,141.67166666666665,10 km,4.0,Intensidad sísmica 4
1995-05-23,19:01:28,Central región de Sorachi,43.641666666666666,141.71499999999995,16 km,5.9,Intensidad sísmica 5
1995-05-13,22:27:17,Cerca de: Miyakejima,33.96666666666667,139.44833333333332,19 km,5.0,Intensidad sísmica 4
1995-04-18,20:26:25,Bahía Suruga,35.065,138.585,24 km,4.9,Intensidad sísmica 4
1995-04-12,14:23:06,Norte de Ibaraki,36.473333333333336,140.60333333333332,53 km,4.7,Intensidad sísmica 4
1995-04-05,13:25:10,"Región de Shimoetsu, Niigata",37.88333333333333,139.26333333333332,18 km,4.2,Intensidad sísmica 4
1995-04-02,10:29:06,"Región de Shimoetsu, Niigata",37.91666666666666,139.27,12 km,4.7,Intensidad sísmica 4
1995-04-01,12:49:34,"Región de Shimoetsu, Niigata",37.89,139.24666666666664,16 km,5.6,Intensidad sísmica 4
1995-03-23,07:24:32,Ibaraki meridional,36.09666666666667,140.01333333333332,56 km,5.1,Intensidad sísmica 4
1995-02-27,00:10:23,"Aizu, Fukushima",37.42166666666667,139.74166666666665,3 km,4.1,Intensidad sísmica 4
1995-02-18,21:37:33,Cerca de Isla Awaji,34.44,134.81333333333333,16 km,5.0,Intensidad sísmica 4
1995-02-15,08:55:32,Apagado Kushiro,42.50666666666667,144.84,45 km,4.8,Intensidad sísmica 4
1995-01-25,23:15:57,Sureste de la prefectura de Hyogo,34.791666666666664,135.30333333333334,15 km,5.1,Intensidad sísmica 4
1995-01-23,00:33:04,Cerca de Isla Awaji,34.555,134.95833333333331,12 km,4.2,Intensidad sísmica 4
1995-01-21,21:12:43,Cerca de Isla Awaji,34.575,134.9933333333333,13 km,4.3,Intensidad sísmica 4
1995-01-21,17:47:31,Frente a la costa sureste de la península de Nemuro,43.15166666666666,146.72833333333332,60 km,6.2,Intensidad sísmica 4
1995-01-17,08:58:19,Cerca de Isla Awaji,34.585,135.005,19 km,4.7,Intensidad sísmica 4
1995-01-17,07:38:36,Sureste de la prefectura de Hyogo,34.78666666666666,135.44166666666666,12 km,5.4,Intensidad sísmica 4
1995-01-17,05:53:11,Sureste de la prefectura de Hyogo,34.67833333333333,135.15,9 km,5.0,Intensidad sísmica 4
1995-01-17,05:50:23,Sureste de la prefectura de Hyogo,34.655,135.13,13 km,5.2,Intensidad sísmica 4
1995-01-17,05:49:48,Sureste de la prefectura de Hyogo,34.66,135.11499999999998,12 km,4.5,Intensidad sísmica 4
1995-01-17,05:46:51,Bahía de Osaka,34.598333333333336,135.035,16 km,7.3,Intensidad sísmica 7
1995-01-15,11:40:20,Cerca de: Isla de Okinawa,27.511666666666667,128.45999999999998,46 km,5.5,Intensidad sísmica 4
1995-01-13,08:29:38,Cerca de Niijima y Kozushima,34.285,139.15666666666667,1 km,5.0,Intensidad sísmica 4
1995-01-07,21:34:39,Ibaraki meridional,36.30166666666666,139.97666666666666,71 km,5.4,Intensidad sísmica 4
1995-01-07,07:37:37,Frente a la costa de Iwate,40.223333333333336,142.305,48 km,7.2,Intensidad sísmica 5
1995-01-06,18:40:30,Cerca de Niijima y Kozushima,34.151666666666664,139.125,11 km,4.7,Intensidad sísmica 4
1995-01-01,05:52:26,Noroeste de Chiba,35.62833333333333,140.10333333333332,77 km,4.8,Intensidad sísmica 4
1994-12-30,00:29:29,Frente a la costa oriental de la prefectura de Aomori,40.73333333333333,142.17999999999998,53 km,5.6,Intensidad sísmica 4
1994-12-28,21:19:20,Apagado Sanriku,40.43,143.74499999999998,0 km,7.6,Intensidad sísmica 6
1994-12-21,00:00:06,Interior sur de la prefectura de Iwate,39.46333333333334,141.235,89 km,4.9,Intensidad sísmica 4
1994-12-18,20:07:33,"Aizu, Fukushima",37.295,139.89166666666665,6 km,5.5,Intensidad sísmica 4
1994-12-09,01:44:25,Cerca de Niijima y Kozushima,34.19,139.19166666666666,9 km,4.2,Intensidad sísmica 4
1994-10-25,15:06:17,Shizuoka Oriental,35.181666666666665,138.98333333333332,4 km,4.9,Intensidad sísmica 4
1994-10-16,08:21:06,Wakayama del Norte,34.218333333333334,135.23,6 km,4.6,Intensidad sísmica 4
1994-10-09,16:55:39,Frente a la costa oriental de Hokkaido,43.55833333333333,147.80166666666668,0 km,7.3,Intensidad sísmica 4
1994-10-04,22:22:56,Frente a la costa oriental de Hokkaido,43.375,147.67333333333332,28 km,8.2,Intensidad sísmica 6
1994-08-31,18:07:29,Frente a la costa sureste de la península de Nemuro,43.49333333333333,146.06333333333333,84 km,6.3,Intensidad sísmica 5
1994-08-25,10:24:47,Apagado Kushiro,42.751666666666665,145.16166666666666,65 km,5.2,Intensidad sísmica 4
1994-08-14,18:06:50,Frente a la costa de Miyagi,38.68,142.385,42 km,6.0,Intensidad sísmica 4
1994-07-02,21:08:45,Cerca de: Amami Oshima,28.173333333333336,129.71166666666664,35 km,5.3,Intensidad sísmica 4
1994-07-02,07:43:17,Fuera de Urakawa,42.12833333333333,142.95666666666665,64 km,4.9,Intensidad sísmica 4
1994-07-01,14:14:49,Región de Hidaka Oriental,42.255,143.07833333333332,67 km,5.2,Intensidad sísmica 4
1994-06-29,11:01:58,Sur de Chiba,34.955000000000005,139.87833333333333,60 km,5.2,Intensidad sísmica 4
1994-06-28,13:08:41,Kioto meridional,35.135,135.65,15 km,4.7,Intensidad sísmica 4
1994-06-17,11:13:37,Kii Suido,34.08166666666667,134.6266666666667,8 km,4.3,Intensidad sísmica 4
1994-06-06,18:03:02,Cerca de: Amami Oshima,28.453333333333333,129.325,71 km,5.7,Intensidad sísmica 4
1994-05-28,17:04:32,Prefectura de Shiga del Norte,35.32666666666667,136.27833333333334,44 km,5.3,Intensidad sísmica 4
1994-04-30,12:28:40,Frente a la costa oriental de la península de Osumi,31.290000000000003,131.575,48 km,6.0,Intensidad sísmica 4
1994-03-16,21:09:26,Cerca de Niijima y Kozushima,34.151666666666664,139.12166666666667,4 km,4.6,Intensidad sísmica 4
1994-03-11,13:38:45,Cerca de Niijima y Kozushima,34.3,139.19,12 km,5.1,Intensidad sísmica 4
1994-03-11,12:54:03,Cerca de Niijima y Kozushima,34.31333333333333,139.17999999999998,5 km,4.3,Intensidad sísmica 4
1994-03-11,12:12:12,Cerca de Niijima y Kozushima,34.29833333333333,139.19,3 km,5.3,Intensidad sísmica 4
1994-02-13,02:06:56,"Región de Satsuma, Kagoshima",32.085,130.49499999999998,5 km,5.7,Intensidad sísmica 4
1993-12-17,12:19:04,Frente a la costa de Iwate,39.19,142.265,62 km,5.3,Intensidad sísmica 4
1993-12-04,18:30:14,Tomakomai,41.72666666666667,141.985,80 km,5.4,Intensidad sísmica 4
1993-11-27,15:11:23,Prefectura de Miyagi del Norte,38.585,141.335,112 km,5.8,Intensidad sísmica 4
1993-11-11,09:06:07,Frente a la costa de Iwate,39.07333333333334,142.36333333333332,36 km,5.5,Intensidad sísmica 4
1993-10-12,00:54:20,Frente a la costa sur de Tokaido,32.02833333333333,138.23999999999998,391 km,6.9,Intensidad sísmica 4
1993-10-10,19:44:07,Cerca de Niijima y Kozushima,34.36,139.17499999999998,1 km,4.1,Intensidad sísmica 4
1993-09-18,11:18:36,Frente a la costa de Ibaraki,36.18333333333333,140.88166666666666,35 km,5.1,Intensidad sísmica 4
1993-09-11,13:55:34,Fuera de Urakawa,41.97666666666667,142.65666666666667,61 km,5.4,Intensidad sísmica 4
1993-08-20,16:25:44,Cerca de Isla Iriomote,24.45,123.70166666666668,5 km,3.2,Intensidad sísmica 4
1993-08-08,04:42:43,Frente a la costa suroeste de Hokkaido,41.958333333333336,139.88166666666666,24 km,6.3,Intensidad sísmica 5
1993-08-08,00:18:39,Chubu Shizuoka,35.01166666666666,138.445,4 km,4.6,Intensidad sísmica 4
1993-08-07,15:01:19,Chubu Shizuoka,35.01,138.45666666666665,4 km,4.1,Intensidad sísmica 4
1993-08-03,18:02:35,Frente a la costa noroeste de Hokkaido,44.33166666666667,141.665,7 km,3.2,Intensidad sísmica 4
1993-07-29,20:34:25,Frente a la costa suroeste de Hokkaido,42.185,139.45833333333331,15 km,3.7,Intensidad sísmica 4
1993-07-25,08:40:03,Frente a la costa suroeste de Hokkaido,42.175,139.36333333333332,20 km,4.1,Intensidad sísmica 4
1993-07-25,08:37:36,Frente a la costa suroeste de Hokkaido,42.18666666666666,139.43166666666664,16 km,3.7,Intensidad sísmica 4
1993-07-13,01:01:05,Frente a la costa suroeste de Hokkaido,42.723333333333336,139.32999999999998,29 km,6.0,Intensidad sísmica 4
1993-07-12,23:45:00,Frente a la costa suroeste de Hokkaido,43.105,139.22166666666666,8 km,6.0,Intensidad sísmica 4
1993-07-12,23:22:47,Frente a la costa suroeste de Hokkaido,42.43666666666666,139.335,40 km,5.2,Intensidad sísmica 4
1993-07-12,22:17:11,Frente a la costa suroeste de Hokkaido,42.781666666666666,139.17999999999998,35 km,7.8,Intensidad sísmica 5
1993-06-03,03:19:32,Frente a la costa oriental de la península de Izu,34.983333333333334,139.11833333333334,4 km,4.5,Intensidad sísmica 4
1993-06-02,18:55:29,"Región de Izu, Shizuoka",34.975,139.125,3 km,4.1,Intensidad sísmica 4
1993-06-02,18:37:27,"Región de Izu, Shizuoka",34.975,139.11666666666667,3 km,4.2,Intensidad sísmica 4
