地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/03/11,15:08:53.4,岩手県沖,39°49.2′N,142°46.0′E,32 km,7.4,震度５弱
2009/01/16,02:49:37.1,千島列島東方,46°59.7′N,155°10.0′E,30 km,7.4,震度２
2004/09/05,23:57:16.8,三重県南東沖,33°08.2′N,137°08.4′E,44 km,7.4,震度５弱
2000/08/05,06:12:59.5,サハリン南部付近,48°54.2′N,142°26.5′E,1 km,7.4,震度１
1979/10/17,14:43:04.9,マリアナ諸島,18°30.0′N,145°31.0′E,600 km,7.4,震度１
1978/06/12,17:14:25.4,宮城県沖,38°09.0′N,142°10.0′E,40 km,7.4,震度５
1973/06/17,12:55:02.0,根室半島南東沖,43°03.5′N,145°58.2′E,44 km,7.4,震度５
2022/09/18,15:44:13.8,台湾付近,23°07.2′N,121°19.1′E,3 km,7.3,震度１
2021/02/13,23:07:50.5,福島県沖,37°43.7′N,141°41.9′E,55 km,7.3,震度６強
2017/01/10,15:13:48.1,インドネシア付近,4°28.6′N,122°37.0′E,627 km,7.3,震度１
2016/04/16,01:25:05.4,熊本県熊本地方,32°45.2′N,130°45.7′E,12 km,7.3,震度７
2013/05/14,09:32:20.1,マリアナ諸島,18°20.1′N,145°50.6′E,619 km,7.3,震度１
2012/12/07,17:18:30.8,三陸沖,38°01.1′N,143°52.0′E,49 km,7.3,震度５弱
2012/08/14,11:59:36.2,オホーツク海南部,49°11.0′N,145°52.9′E,654 km,7.3,震度３
2011/07/10,09:57:07.3,三陸沖,38°01.9′N,143°30.4′E,34 km,7.3,震度４
2011/03/09,11:45:12.9,三陸沖,38°19.7′N,143°16.7′E,8 km,7.3,震度５弱
2001/12/18,13:02:59.3,与那国島近海,23°53.6′N,122°48.9′E,8 km,7.3,震度４
2000/10/06,13:30:17.9,鳥取県西部,35°16.4′N,133°20.9′E,9 km,7.3,震度６強
1995/12/04,03:01:04.0,択捉島南東沖,44°33.5′N,150°07.7′E,57 km,7.3,震度２
1995/01/17,05:46:51.8,大阪湾,34°35.9′N,135°02.1′E,16 km,7.3,震度７
1994/10/09,16:55:39.0,北海道東方沖,43°33.5′N,147°48.1′E,0 km,7.3,震度４
1994/07/22,03:36:31.5,日本海北部,42°16.7′N,133°32.8′E,552 km,7.3,震度３
1978/03/25,04:47:43.9,択捉島南東沖,44°20.0′N,149°49.0′E,40 km,7.3,震度３
1975/06/29,19:37:40.4,日本海西部,38°48.7′N,130°05.8′E,570 km,7.3,震度３
1974/11/30,07:05:21.4,鳥島近海,30°45.4′N,138°50.0′E,454 km,7.3,震度４
1973/09/29,09:43:56.8,ウラジオストク付近,42°25.6′N,130°29.6′E,524 km,7.3,震度３
1972/04/24,18:57:19.0,台湾付近,23°29.5′N,121°37.2′E,49 km,7.3,震度１
1968/10/08,04:20:18.7,小笠原諸島西方沖,26°09.2′N,141°13.9′E,460 km,7.3,震度３
1966/03/13,01:31:21.4,与那国島近海,24°03.0′N,122°42.9′E,42 km,7.3,震度５
1963/02/13,17:50:02.2,台湾付近,24°30.0′N,121°48.0′E,33 km,7.3,震度３
2020/02/13,19:33:45.1,択捉島南東沖,45°03.3′N,149°09.7′E,155 km,7.2,震度４
2016/01/30,12:25:10.4,カムチャツカ半島付近,54°00.4′N,158°30.3′E,161 km,7.2,震度１
2011/04/07,23:32:43.4,宮城県沖,38°12.2′N,141°55.2′E,66 km,7.2,震度６強
2010/02/27,05:31:25.9,沖縄本島近海,25°55.1′N,128°40.8′E,37 km,7.2,震度５弱
2008/06/14,08:43:45.3,岩手県内陸南部,39°01.7′N,140°52.8′E,8 km,7.2,震度６強
2006/12/26,21:34:11.9,台湾付近,21°48.9′N,120°41.1′E,0 km,7.2,震度１
2005/11/15,06:38:51.3,三陸沖,38°01.6′N,144°56.6′E,45 km,7.2,震度３
2005/08/16,11:46:25.7,宮城県沖,38°08.9′N,142°16.6′E,42 km,7.2,震度６弱
2000/08/06,16:27:13.3,小笠原諸島西方沖,28°49.2′N,140°05.1′E,445 km,7.2,震度４
1995/04/18,08:28:06.7,千島列島,46°08.0′N,151°50.0′E,59 km,7.2,震度２
1995/01/07,07:37:37.1,岩手県沖,40°13.4′N,142°18.3′E,48 km,7.2,震度５
1990/05/12,13:50:06.2,サハリン南部付近,49°15.8′N,142°13.4′E,594 km,7.2,震度３
1978/12/06,23:02:03.6,択捉島付近,44°44.0′N,146°58.0′E,100 km,7.2,震度４
1978/03/07,11:48:48.6,東海道南方沖,32°08.0′N,137°44.0′E,440 km,7.2,震度４
1972/12/04,19:16:10.3,八丈島東方沖,33°20.2′N,140°56.3′E,54 km,7.2,震度６
1972/01/25,12:41:20.6,台湾付近,23°07.6′N,122°20.7′E,39 km,7.2,震度２
1968/06/12,22:41:46.5,三陸沖,39°23.7′N,143°04.0′E,20 km,7.2,震度４
1961/08/12,00:51:35.6,釧路沖,42°53.9′N,145°17.4′E,49 km,7.2,震度４
1960/03/21,02:07:27.8,三陸沖,39°53.7′N,143°20.9′E,0 km,7.2,震度４
2015/11/14,05:51:30.1,薩摩半島西方沖,30°56.5′N,128°35.4′E,17 km,7.1,震度４
2013/10/26,02:10:18.3,福島県沖,37°11.7′N,144°34.1′E,56 km,7.1,震度４
2010/11/30,12:24:39.4,小笠原諸島西方沖,28°21.5′N,139°35.3′E,494 km,7.1,震度３
2008/09/11,09:20:51.3,十勝沖,41°46.5′N,144°09.0′E,31 km,7.1,震度５弱
2007/10/31,12:30:18.4,マリアナ諸島,19°13.4′N,145°29.2′E,216 km,7.1,震度１
2004/11/29,03:32:14.5,釧路沖,42°56.7′N,145°16.5′E,48 km,7.1,震度５強
2004/09/05,19:07:07.5,三重県南東沖,33°01.9′N,136°47.8′E,38 km,7.1,震度５弱
2003/09/26,06:08:01.8,十勝沖,41°42.5′N,143°41.4′E,21 km,7.1,震度６弱
2003/07/27,15:25:34.2,日本海北部,46°49.1′N,139°08.8′E,487 km,7.1,震度３
2003/05/26,18:24:33.4,宮城県沖,38°49.2′N,141°39.0′E,72 km,7.1,震度６弱
1999/04/08,22:10:34.1,ウラジオストク付近,43°33.0′N,130°59.4′E,633 km,7.1,震度２
1998/08/20,15:40:53.8,小笠原諸島西方沖,28°53.4′N,139°54.7′E,467 km,7.1,震度３
1989/11/02,03:25:33.5,三陸沖,39°51.5′N,143°03.2′E,0 km,7.1,震度４
1984/08/07,04:06:38.9,日向灘,32°23.0′N,132°09.2′E,33 km,7.1,震度４
1983/06/21,15:25:25.0,青森県西方沖,41°15.9′N,139°00.0′E,6 km,7.1,震度４
1982/03/21,11:32:05.7,浦河沖,42°04.0′N,142°36.0′E,40 km,7.1,震度６
1978/07/23,23:42:36.8,台湾付近,22°11.0′N,121°27.0′E,20 km,7.1,震度２
1973/06/24,11:43:23.5,根室半島南東沖,43°09.8′N,146°37.9′E,52 km,7.1,震度５
1970/05/27,21:05:06.4,小笠原諸島西方沖,27°08.6′N,140°52.5′E,350 km,7.1,震度３
1963/03/16,17:44:48.7,千島列島東方,45°14.2′N,154°54.4′E,5 km,7.1,震度２
1962/04/23,14:58:13.9,十勝沖,42°27.7′N,143°46.0′E,69 km,7.1,震度５
2014/07/12,04:22:00.4,福島県沖,37°03.0′N,142°19.2′E,33 km,7.0,震度４
2013/04/19,12:05:54.6,千島列島,45°18.0′N,150°57.4′E,125 km,7.0,震度４
2012/01/01,14:27:52.0,鳥島近海,31°25.6′N,138°33.9′E,397 km,7.0,震度４
2011/11/08,11:59:06.9,沖縄本島北西沖,27°17.8′N,125°44.3′E,217 km,7.0,震度４
2011/04/11,17:16:12.0,福島県浜通り,36°56.7′N,140°40.3′E,6 km,7.0,震度６弱
2008/05/08,01:45:18.7,茨城県沖,36°13.6′N,141°36.4′E,51 km,7.0,震度５弱
2005/03/20,10:53:40.3,福岡県北西沖,33°44.3′N,130°10.5′E,9 km,7.0,震度６弱
2002/11/17,13:53:56.1,オホーツク海南部,47°07.6′N,146°49.6′E,496 km,7.0,震度３
2002/06/29,02:19:33.0,ウラジオストク付近,43°30.2′N,131°23.5′E,589 km,7.0,震度２
2002/05/15,12:46:06.8,台湾付近,24°38.8′N,121°47.8′E,47 km,7.0,震度３
2002/03/31,15:52:50.0,台湾付近,24°13.9′N,121°58.2′E,55 km,7.0,震度３
2002/03/26,12:45:43.4,石垣島近海,23°11.8′N,124°15.9′E,0 km,7.0,震度１
2000/01/28,23:21:08.7,根室半島南東沖,43°00.4′N,146°44.6′E,59 km,7.0,震度４
1995/12/04,03:04:58.8,千島列島,44°42.3′N,150°31.5′E,0 km,7.0,震度１
1987/05/07,12:05:49.7,日本海北部,46°34.9′N,139°56.1′E,463 km,7.0,震度２
1984/01/01,18:03:41.0,三重県南東沖,33°37.4′N,136°50.3′E,388 km,7.0,震度４
1982/07/23,23:23:50.9,茨城県沖,36°11.0′N,141°57.0′E,30 km,7.0,震度４
1981/01/19,03:17:23.9,三陸沖,38°36.0′N,142°58.0′E,0 km,7.0,震度４
1978/03/23,12:15:17.6,択捉島南東沖,44°48.0′N,149°25.0′E,60 km,7.0,震度３
1978/01/14,12:24:38.6,伊豆大島近海,34°46.0′N,139°15.0′E,0 km,7.0,震度５
1975/06/10,22:47:10.5,北海道東方沖,42°54.3′N,147°57.5′E,0 km,7.0,震度１
1973/02/28,15:37:44.3,千島列島,50°05.1′N,157°39.5′E,0 km,7.0,震度１
1972/02/29,18:23:00.0,八丈島東方沖,33°31.5′N,140°53.1′E,22 km,7.0,震度５
1971/08/02,16:24:56.8,十勝沖,41°18.0′N,143°31.7′E,54 km,7.0,震度５
1961/08/19,14:33:33.0,石川県加賀地方,36°06.7′N,136°42.0′E,10 km,7.0,震度４
1961/02/27,03:10:49.1,日向灘,31°38.7′N,131°53.2′E,37 km,7.0,震度５
2021/03/20,18:09:44.8,宮城県沖,38°28.0′N,141°37.6′E,59 km,6.9,震度５強
2015/02/17,08:06:34.6,三陸沖,39°52.3′N,143°11.5′E,13 km,6.9,震度４
2012/03/14,18:08:33.0,三陸沖,40°46.5′N,145°13.6′E,64 km,6.9,震度４
2011/06/23,06:50:50.7,岩手県沖,39°56.8′N,142°35.4′E,36 km,6.9,震度５弱
2011/03/11,15:29:15.1,三陸沖,37°56.0′N,143°55.9′E,15 km,6.9,震度３
2008/07/19,11:39:28.6,福島県沖,37°31.2′N,142°15.8′E,32 km,6.9,震度４
2007/03/25,09:41:57.9,能登半島沖,37°13.2′N,136°41.1′E,11 km,6.9,震度６強
2006/12/26,21:26:18.8,台湾付近,21°38.9′N,120°45.1′E,0 km,6.9,震度１
2004/12/06,23:15:11.8,釧路沖,42°50.8′N,145°20.5′E,46 km,6.9,震度５強
2001/05/25,09:40:52.8,択捉島南東沖,44°18.9′N,148°48.8′E,30 km,6.9,震度２
1996/10/19,23:44:41.4,日向灘,31°47.9′N,132°00.5′E,34 km,6.9,震度５弱
1996/02/08,06:36:43.3,千島列島,44°56.9′N,150°50.9′E,58 km,6.9,震度３
1995/10/18,19:37:23.2,奄美大島近海,28°01.9′N,130°22.8′E,39 km,6.9,震度５
1993/10/12,00:54:20.9,東海道南方沖,32°01.7′N,138°14.4′E,391 km,6.9,震度４
1992/07/18,17:39:02.3,三陸沖,39°24.4′N,143°26.0′E,0 km,6.9,震度３
1992/07/18,17:36:56.4,三陸沖,39°22.3′N,143°40.4′E,0 km,6.9,震度３
1982/06/30,10:57:34.1,千島列島,44°40.0′N,151°24.0′E,50 km,6.9,震度３
1981/01/23,13:58:30.7,浦河沖,42°25.0′N,142°12.0′E,130 km,6.9,震度５
1980/12/31,19:32:07.4,千島列島,46°14.0′N,152°22.0′E,70 km,6.9,震度３
1978/12/23,20:23:16.1,与那国島近海,23°04.0′N,122°41.0′E,40 km,6.9,震度３
1974/05/09,08:33:27.7,駿河湾,34°37.8′N,138°46.8′E,9 km,6.9,震度５
1971/09/06,03:35:25.2,サハリン西方沖,46°27.6′N,141°12.2′E,4 km,6.9,震度３
1968/01/29,19:19:04.4,北海道東方沖,43°20.7′N,146°53.9′E,32 km,6.9,震度４
1964/05/07,16:58:08.1,秋田県沖,40°23.8′N,138°40.1′E,24 km,6.9,震度４
1963/03/27,06:34:39.1,若狭湾,35°48.9′N,135°47.5′E,14 km,6.9,震度５
1961/11/15,16:17:12.5,釧路沖,42°45.1′N,145°22.1′E,37 km,6.9,震度４
2021/05/01,10:27:26.9,宮城県沖,38°10.4′N,141°44.4′E,51 km,6.8,震度５強
2020/04/18,17:25:36.9,小笠原諸島西方沖,27°10.4′N,140°30.4′E,477 km,6.8,震度４
2015/05/13,06:12:58.4,宮城県沖,38°51.7′N,142°09.0′E,46 km,6.8,震度５強
2015/04/20,10:42:55.6,与那国島近海,23°57.3′N,122°25.6′E,22 km,6.8,震度４
2013/09/04,09:18:20.7,鳥島近海,29°56.1′N,139°25.0′E,445 km,6.8,震度４
2011/03/12,10:47:12.6,福島県沖,37°28.5′N,142°45.2′E,0 km,6.8,震度４
2011/03/11,17:19:17.2,茨城県沖,36°09.4′N,141°42.9′E,36 km,6.8,震度４
2011/03/11,16:14:57.0,茨城県沖,36°33.4′N,142°02.4′E,25 km,6.8,震度４
2011/03/11,15:59:01.3,福島県沖,37°31.9′N,144°25.9′E,50 km,6.8,震度２
2011/03/11,14:51:20.5,福島県沖,37°18.6′N,142°14.2′E,33 km,6.8,震度５弱
2011/03/10,06:23:59.7,三陸沖,38°10.3′N,143°02.6′E,9 km,6.8,震度４
2010/02/18,10:13:16.4,ウラジオストク付近,42°37.2′N,131°03.8′E,619 km,6.8,震度２
2009/10/30,16:03:38.9,奄美大島北東沖,29°10.0′N,129°56.2′E,60 km,6.8,震度４
2009/08/09,19:55:52.1,東海道南方沖,33°07.6′N,138°24.2′E,333 km,6.8,震度４
2008/07/24,00:26:19.6,岩手県沿岸北部,39°43.9′N,141°38.1′E,108 km,6.8,震度６弱
2008/07/05,11:12:04.4,オホーツク海,53°52.9′N,152°53.1′E,633 km,6.8,震度２
2007/07/16,10:13:22.5,新潟県上中越沖,37°33.4′N,138°36.5′E,17 km,6.8,震度６強
2006/10/24,06:17:16.9,鳥島近海,29°10.4′N,140°21.0′E,3 km,6.8,震度２
2005/01/19,15:11:29.9,関東東方沖,33°56.2′N,142°01.1′E,31 km,6.8,震度１
2004/10/23,17:56:00.3,新潟県中越地方,37°17.5′N,138°52.0′E,13 km,6.8,震度７
2003/10/31,10:06:30.6,宮城県沖,37°49.9′N,142°41.7′E,33 km,6.8,震度４
1996/02/17,00:22:58.1,福島県沖,37°18.5′N,142°32.8′E,58 km,6.8,震度４
1995/12/03,02:13:13.5,択捉島南東沖,44°21.1′N,150°19.7′E,58 km,6.8,震度２
1995/11/25,02:24:13.4,択捉島南東沖,44°34.0′N,149°21.5′E,59 km,6.8,震度３
1994/10/05,00:24:09.3,北海道東方沖,43°16.4′N,148°27.8′E,0 km,6.8,震度３
1991/12/22,17:43:02.4,千島列島,45°45.3′N,152°23.4′E,10 km,6.8,震度２
1984/09/14,08:48:49.4,長野県南部,35°49.5′N,137°33.4′E,2 km,6.8,震度４
1984/03/24,18:43:55.3,択捉島南東沖,44°23.3′N,148°54.1′E,40 km,6.8,震度２
1980/02/23,14:51:05.4,北海道東方沖,43°27.0′N,146°33.0′E,30 km,6.8,震度４
1977/03/09,23:27:56.9,日本海西部,41°40.0′N,131°25.0′E,600 km,6.8,震度２
1968/09/21,22:06:01.7,浦河沖,41°59.0′N,142°45.6′E,54 km,6.8,震度５
1965/10/26,07:34:26.3,国後島付近,43°48.0′N,145°38.0′E,157 km,6.8,震度４
1964/06/23,10:26:39.5,根室半島南東沖,43°04.9′N,146°09.0′E,62 km,6.8,震度４
1962/04/12,09:52:40.4,三陸沖,38°00.5′N,142°45.5′E,32 km,6.8,震度４
1961/01/16,16:20:11.1,茨城県沖,36°07.9′N,141°46.5′E,48 km,6.8,震度４
1960/10/08,14:53:05.2,朝鮮半島北部,40°11.3′N,129°55.8′E,613 km,6.8,震度２
2020/12/01,07:54:33.0,サハリン西方沖,48°05.8′N,141°10.8′E,619 km,6.7,震度３
2019/06/29,00:51:27.9,マリアナ諸島,19°36.8′N,144°38.3′E,456 km,6.7,震度１
2019/06/18,22:22:19.9,山形県沖,38°36.4′N,139°28.7′E,14 km,6.7,震度６強
2018/09/06,03:07:59.3,胆振地方中東部,42°41.4′N,142°00.4′E,37 km,6.7,震度７
2018/02/07,00:50:42.1,台湾付近,24°05.2′N,121°40.6′E,10 km,6.7,震度２
2016/09/23,09:14:31.3,関東東方沖,34°23.7′N,141°50.6′E,32 km,6.7,震度１
2016/01/14,12:25:33.3,浦河沖,41°58.2′N,142°48.0′E,52 km,6.7,震度５弱
2014/11/22,22:08:17.9,長野県北部,36°41.5′N,137°53.4′E,5 km,6.7,震度６弱
2013/10/01,12:38:21.7,オホーツク海,53°11.9′N,152°47.1′E,573 km,6.7,震度１
2013/05/24,23:56:31.4,オホーツク海,52°14.1′N,151°26.6′E,624 km,6.7,震度１
2011/03/22,16:18:40.8,福島県沖,37°05.1′N,144°14.8′E,28 km,6.7,震度４
2011/03/12,03:59:15.6,長野県北部,36°59.1′N,138°35.8′E,8 km,6.7,震度６強
2011/03/12,00:13:12.4,茨城県沖,36°03.2′N,142°00.0′E,23 km,6.7,震度４
2011/03/11,20:36:39.9,岩手県沖,39°13.8′N,142°34.7′E,24 km,6.7,震度５弱
2011/03/11,15:12:58.6,福島県沖,37°13.6′N,141°38.7′E,39 km,6.7,震度５弱
2010/03/14,17:08:04.1,福島県沖,37°43.4′N,141°49.0′E,40 km,6.7,震度５弱
2009/12/19,22:02:15.5,台湾付近,23°46.6′N,121°38.8′E,32 km,6.7,震度３
2009/08/17,09:05:49.0,石垣島近海,23°26.2′N,123°38.0′E,48 km,6.7,震度３
2009/04/07,13:23:30.1,千島列島,46°00.4′N,152°11.5′E,30 km,6.7,震度３
2007/07/16,23:17:36.9,京都府沖,36°51.9′N,135°06.2′E,374 km,6.7,震度４
2007/04/20,10:45:54.9,宮古島北西沖,25°44.8′N,125°08.2′E,21 km,6.7,震度３
2004/05/30,05:56:06.0,関東東方沖,34°06.4′N,141°51.5′E,23 km,6.7,震度１
2001/07/03,22:10:45.8,マリアナ諸島,21°42.5′N,143°09.4′E,337 km,6.7,震度１
2001/03/24,15:27:54.5,安芸灘,34°07.9′N,132°41.6′E,46 km,6.7,震度６弱
1996/12/03,07:17:58.1,日向灘,31°46.1′N,131°40.8′E,38 km,6.7,震度５弱
1996/09/06,08:42:07.6,台湾付近,21°59.6′N,121°38.9′E,21 km,6.7,震度１
1995/12/04,03:14:29.8,千島列島,44°26.6′N,150°46.4′E,39 km,6.7,震度１
1995/10/19,11:41:33.0,奄美大島近海,28°01.1′N,130°26.3′E,21 km,6.7,震度５
1995/04/29,01:30:00.8,北海道東方沖,43°42.6′N,147°52.9′E,3 km,6.7,震度３
1994/06/05,10:09:30.1,台湾付近,24°17.0′N,121°44.4′E,27 km,6.7,震度２
1992/10/30,11:49:50.1,鳥島近海,29°58.5′N,139°27.8′E,410 km,6.7,震度２
1987/12/17,11:08:16.8,千葉県東方沖,35°22.5′N,140°29.6′E,58 km,6.7,震度５
1987/05/18,12:07:32.4,オホーツク海南部,48°47.1′N,149°02.6′E,497 km,6.7,震度２
1987/02/06,22:16:15.3,福島県沖,36°57.9′N,141°53.6′E,35 km,6.7,震度５
1982/02/28,01:16:49.5,硫黄島近海,22°23.0′N,144°19.0′E,100 km,6.7,震度１
1980/06/29,16:20:07.5,伊豆半島東方沖,34°55.0′N,139°14.0′E,10 km,6.7,震度５
1980/03/03,08:28:55.4,沖縄本島北西沖,27°00.0′N,126°37.0′E,20 km,6.7,震度３
1978/03/23,09:30:55.0,択捉島南東沖,44°25.0′N,149°44.0′E,40 km,6.7,震度２
1978/02/20,13:36:57.2,宮城県沖,38°45.0′N,142°12.0′E,50 km,6.7,震度５
1973/02/01,05:55:53.6,小笠原諸島西方沖,28°19.6′N,139°43.6′E,514 km,6.7,震度２
1970/07/26,07:41:10.5,日向灘,32°06.1′N,132°01.6′E,20 km,6.7,震度５
1970/01/21,02:33:04.3,十勝地方南部,42°25.1′N,143°08.9′E,55 km,6.7,震度５
1969/07/18,14:24:46.7,中国北東部,38°25.0′N,119°27.1′E,10 km,6.7,震度１
1969/01/19,16:02:08.7,宗谷東方沖,44°54.4′N,143°18.9′E,257 km,6.7,震度４
1967/10/25,09:59:22.6,台湾付近,24°19.9′N,122°16.0′E,53 km,6.7,震度４
1964/05/31,09:40:38.9,北海道東方沖,43°16.4′N,146°58.4′E,43 km,6.7,震度４
1963/10/20,09:53:11.4,択捉島南東沖,44°05.6′N,150°00.3′E,0 km,6.7,震度１
1960/07/30,02:31:41.2,岩手県沖,40°17.6′N,142°17.3′E,34 km,6.7,震度４
2022/05/09,15:23:02.6,与那国島近海,23°56.5′N,122°29.7′E,19 km,6.6,震度３
2022/03/23,02:41:38.9,台湾付近,23°23.9′N,121°29.5′E,44 km,6.6,震度２
2022/01/22,01:08:37.5,日向灘,32°42.9′N,132°04.3′E,45 km,6.6,震度５強
2021/09/21,05:25:27.6,千島列島,45°40.2′N,152°33.6′E,30 km,6.6,震度１
2019/07/28,03:31:06.7,三重県南東沖,33°09.6′N,137°23.8′E,393 km,6.6,震度４
2018/08/17,03:23:03.8,硫黄島近海,23°41.9′N,143°13.0′E,93 km,6.6,震度１
2016/10/21,14:07:22.5,鳥取県中部,35°22.8′N,133°51.3′E,11 km,6.6,震度６弱
2015/05/31,03:49:06.2,鳥島近海,30°46.4′N,143°07.7′E,45 km,6.6,震度１
2012/12/07,17:31:10.2,三陸沖,37°55.1′N,143°51.3′E,30 km,6.6,震度３
2012/03/27,20:00:42.4,岩手県沖,39°48.3′N,142°20.0′E,21 km,6.6,震度５弱
2011/09/17,04:26:35.8,岩手県沖,40°15.5′N,143°05.1′E,7 km,6.6,震度４
2011/03/29,19:54:30.4,福島県沖,37°24.5′N,142°28.1′E,13 km,6.6,震度４
2011/03/13,10:26:02.0,茨城県沖,35°49.6′N,141°58.3′E,11 km,6.6,震度４
2011/03/11,17:12:06.4,茨城県沖,36°32.9′N,141°23.1′E,32 km,6.6,震度４
2011/03/11,16:28:59.8,岩手県沖,39°01.3′N,142°18.6′E,17 km,6.6,震度５強
2011/03/11,14:58:05.5,福島県沖,37°41.3′N,141°56.0′E,35 km,6.6,震度５弱
2010/12/23,06:49:42.9,父島近海,26°56.3′N,143°41.3′E,59 km,6.6,震度３
2010/04/26,11:59:49.5,石垣島南方沖,22°12.6′N,123°49.5′E,50 km,6.6,震度２
2009/08/17,19:10:54.1,石垣島近海,23°16.6′N,123°40.2′E,42 km,6.6,震度２
2009/08/13,07:48:51.7,八丈島東方沖,32°52.1′N,140°49.5′E,57 km,6.6,震度５弱
2008/12/20,19:29:16.7,関東東方沖,36°31.8′N,142°42.0′E,0 km,6.6,震度３
2008/03/15,07:32:07.3,父島近海,27°06.2′N,143°09.3′E,66 km,6.6,震度３
2008/02/27,15:54:21.3,父島近海,26°52.5′N,142°44.3′E,38 km,6.6,震度３
2007/09/07,02:51:26.7,台湾付近,24°24.7′N,122°16.4′E,66 km,6.6,震度３
2006/11/15,20:40:57.1,千島列島東方,46°38.1′N,154°32.2′E,30 km,6.6,震度１
2005/12/02,22:13:07.9,宮城県沖,38°04.3′N,142°21.2′E,40 km,6.6,震度３
2004/10/15,13:08:51.5,与那国島近海,24°36.1′N,122°49.6′E,83 km,6.6,震度５弱
2003/12/10,13:38:10.7,台湾付近,22°48.5′N,121°16.8′E,32 km,6.6,震度１
2000/07/16,12:21:42.7,フィリピン付近,20°28.7′N,122°23.2′E,0 km,6.6,震度１
1999/11/02,02:53:04.2,台湾付近,23°26.7′N,121°44.3′E,91 km,6.6,震度２
1999/09/26,08:52:51.6,台湾付近,23°50.9′N,120°59.7′E,70 km,6.6,震度１
1999/09/22,09:14:38.9,台湾付近,23°41.0′N,120°51.0′E,61 km,6.6,震度１
1999/01/24,09:37:06.0,種子島近海,30°34.1′N,131°17.4′E,40 km,6.6,震度４
1997/06/25,18:50:12.7,山口県中部,34°26.4′N,131°39.9′E,8 km,6.6,震度５強
1997/03/26,17:31:47.9,鹿児島県薩摩地方,31°58.3′N,130°21.5′E,12 km,6.6,震度５強
1996/11/07,05:01:01.7,父島近海,28°10.3′N,143°33.0′E,38 km,6.6,震度３
